,Date,riskfree,activity,MA1M,actualreturn
259,2021-07-31,0.58,2.352272108359526e-06,-4.0,-4.0
260,2021-08-31,0.9,-6.563438963647295e-06,-5.9,-5.9
261,2021-09-30,0.92,3.486214715948931e-06,18.63,18.63
262,2021-10-31,0.76,-1.9484945925226097e-08,6.86,6.86
263,2021-11-30,1.067,5.164466020428906e-07,15.29,15.29
264,2021-12-31,1.437,-2.7306604892209584e-06,15.65,15.65
265,2022-01-31,1.277,-9.125078200303485e-07,-16.82,-16.82
266,2022-02-28,1.39,-4.509535363059471e-06,6.27,6.27
267,2022-03-31,1.454,3.55683929191521e-06,0.0,0.0
268,2022-04-30,1.53,-2.3576030542723316e-06,-4.27,-4.27
269,2022-05-31,1.863,5.949836797212878e-07,-2.51,-2.51
270,2022-06-30,2.337,-8.312766965830754e-06,-25.07,-25.07
271,2022-07-31,2.341,-2.69859760361123e-06,3.56,3.56
